applicant_id,checking_status,duration,credit_history,purpose,installment_commitment,other_parties,other_payment_plans,existing_credits,class
919,<0,24,existing paid,furniture/equipment,1,none,none,1,bad
920,<0,24,existing paid,furniture/equipment,4,none,none,1,bad
921,no checking,18,critical/other existing credit,furniture/equipment,4,none,none,2,good
922,no checking,48,delayed previously,radio/tv,4,none,none,1,good
923,<0,9,existing paid,radio/tv,3,none,none,1,bad
924,0<=X<200,12,existing paid,new car,3,none,none,1,good
925,<0,24,all paid,furniture/equipment,2,none,bank,1,bad
926,<0,12,all paid,new car,4,none,bank,2,bad
927,<0,18,critical/other existing credit,furniture/equipment,4,none,none,1,good
928,<0,48,existing paid,used car,4,none,stores,3,bad
929,no checking,30,existing paid,radio/tv,4,none,none,1,good
930,<0,12,delayed previously,new car,4,none,none,2,good
931,<0,24,existing paid,furniture/equipment,4,co applicant,none,1,good
932,0<=X<200,9,existing paid,radio/tv,4,none,none,1,bad
933,no checking,9,critical/other existing credit,new car,3,none,none,2,good
934,no checking,12,critical/other existing credit,radio/tv,4,none,none,2,good
935,<0,12,existing paid,radio/tv,4,none,bank,1,good
936,0<=X<200,30,delayed previously,radio/tv,4,none,stores,2,bad
937,>=200,9,existing paid,radio/tv,3,none,none,1,bad
938,0<=X<200,6,existing paid,radio/tv,4,none,none,1,good
939,0<=X<200,60,existing paid,education,4,none,none,1,bad
940,no checking,24,critical/other existing credit,used car,2,none,none,2,good
941,no checking,12,existing paid,new car,2,none,none,1,good
942,no checking,10,existing paid,new car,3,none,none,1,good
943,no checking,24,existing paid,furniture/equipment,4,none,stores,1,good
944,no checking,4,critical/other existing credit,new car,2,none,none,3,good
945,<0,15,existing paid,furniture/equipment,4,guarantor,none,1,good
946,0<=X<200,48,no credits/all paid,new car,1,none,none,2,good
947,<0,24,all paid,furniture/equipment,4,none,none,1,bad
948,no checking,12,existing paid,new car,4,none,none,1,good
949,no checking,18,existing paid,furniture/equipment,4,co applicant,none,1,bad
950,no checking,24,existing paid,radio/tv,2,none,none,2,bad
951,0<=X<200,18,critical/other existing credit,business,3,none,none,3,good
952,<0,36,delayed previously,business,2,none,none,2,bad
953,0<=X<200,24,existing paid,used car,3,none,none,1,bad
954,no checking,36,existing paid,furniture/equipment,4,none,none,2,bad
955,<0,12,existing paid,new car,4,guarantor,none,1,good
956,<0,24,critical/other existing credit,radio/tv,4,none,none,2,good
957,>=200,30,critical/other existing credit,radio/tv,4,none,stores,2,good
958,0<=X<200,9,critical/other existing credit,radio/tv,2,none,none,3,good
959,<0,28,existing paid,new car,3,none,none,1,bad
960,0<=X<200,24,existing paid,furniture/equipment,4,none,none,1,good
961,no checking,6,critical/other existing credit,radio/tv,2,none,none,2,good
962,0<=X<200,21,delayed previously,new car,1,none,none,2,good
963,no checking,15,existing paid,new car,3,none,none,1,good
964,no checking,24,existing paid,radio/tv,3,none,bank,2,bad
965,0<=X<200,6,existing paid,repairs,3,none,none,1,good
966,0<=X<200,30,existing paid,radio/tv,4,none,none,1,good
967,0<=X<200,27,critical/other existing credit,radio/tv,4,none,none,2,bad
968,no checking,15,existing paid,radio/tv,4,none,bank,1,good
969,no checking,42,existing paid,radio/tv,2,none,none,1,good
970,<0,11,critical/other existing credit,new car,1,none,none,2,good
971,0<=X<200,15,existing paid,repairs,4,guarantor,none,1,good
972,no checking,24,existing paid,new car,1,none,none,1,good
973,<0,24,all paid,new car,1,co applicant,none,2,bad
974,<0,60,existing paid,business,4,co applicant,none,1,bad
975,no checking,30,critical/other existing credit,radio/tv,4,none,none,1,good
976,>=200,24,existing paid,radio/tv,3,none,none,1,good
977,0<=X<200,6,existing paid,radio/tv,2,guarantor,none,1,good
978,0<=X<200,18,delayed previously,business,4,none,none,2,good
979,no checking,24,delayed previously,new car,4,none,none,2,bad
980,0<=X<200,15,all paid,new car,2,none,none,1,bad
981,0<=X<200,30,critical/other existing credit,furniture/equipment,2,none,none,1,bad
982,no checking,48,existing paid,business,3,none,bank,1,bad
983,>=200,21,existing paid,new car,1,none,bank,1,good
984,<0,36,existing paid,used car,2,none,none,1,bad
985,no checking,24,critical/other existing credit,furniture/equipment,2,none,none,2,good
986,<0,15,critical/other existing credit,furniture/equipment,4,none,none,2,good
987,>=200,42,no credits/all paid,business,2,none,none,2,good
988,no checking,13,existing paid,radio/tv,2,none,none,1,good
989,<0,24,existing paid,used car,4,none,none,1,good
990,0<=X<200,24,critical/other existing credit,radio/tv,4,none,none,2,good
991,no checking,12,critical/other existing credit,education,2,none,none,2,good
992,no checking,15,all paid,radio/tv,4,none,bank,1,good
993,<0,18,existing paid,radio/tv,2,none,none,2,good
994,<0,36,existing paid,furniture/equipment,4,none,none,1,good
995,no checking,12,existing paid,new car,4,none,none,1,good
996,no checking,12,existing paid,furniture/equipment,3,none,none,1,good
997,<0,30,existing paid,used car,4,none,none,1,good
998,no checking,12,existing paid,radio/tv,4,none,none,1,good
999,<0,45,existing paid,radio/tv,4,none,none,1,bad
1000,0<=X<200,45,critical/other existing credit,used car,3,none,none,1,good
